pmid,title,journal,pubdate_raw,pubdate_iso,doi,pmc,pubmed_url,doi_url,pmc_pdf_url,in_query_a,in_query_b,study_type,topic,score_applicability,score_effect,score_robustness,score_novelty,score_total,clinical_question,key_finding,main_limitation,tomorrow_change
41653310,Caffeine and other methylxanthines' impact on bronchiolitis-related apnea in under 12-months-old children-a systematic review with meta-analyses.,European journal of pediatrics,2026 Feb 7,2026-02-07,10.1007/s00431-026-06775-z,,https://pubmed.ncbi.nlm.nih.gov/41653310/,https://doi.org/10.1007/s00431-026-06775-z,,1,1,SR/MA,Bronquiolitis/RSV,4,3,2,1,10,Que cambia en soporte respiratorio y eventos clinicos en lactantes esta temporada?,Caffeine and other methylxanthines' impact on bronchiolitis-related apnea in under 12-months-old children-a systematic review with meta-analyses.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar mensaje a familias y criterios de seguimiento respiratorio.
41428293,Nirsevimab Against Hospitalizations and Emergency Department Visits for Lower Respiratory Tract Infection in Infants: A Meta-Analysis.,JAMA pediatrics,2026 Feb 1,2026-02-01,10.1001/jamapediatrics.2025.5280,PMC12723597,https://pubmed.ncbi.nlm.nih.gov/41428293/,https://doi.org/10.1001/jamapediatrics.2025.5280,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723597/pdf/,1,1,SR/MA,IVRS/Resfriado,4,3,2,1,10,"Que medidas reducen sintomas, complicaciones o uso de recursos en IVRS?",Nirsevimab Against Hospitalizations and Emergency Department Visits for Lower Respiratory Tract Infection in Infants: A Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Refinar consejo clinico y seguridad de manejo domiciliario.
41612030,Neutrophil-to-lymphocyte ratio and platelet-to-lymphocyte ratio in asthmatic children: a systematic review with meta-analysis.,European journal of pediatrics,2026 Jan 30,2026-01-30,10.1007/s00431-026-06743-7,,https://pubmed.ncbi.nlm.nih.gov/41612030/,https://doi.org/10.1007/s00431-026-06743-7,,1,1,SR/MA,Asma/Sibilancias,4,3,2,1,10,Hay intervenciones o biomarcadores que mejoren decisiones en asma pediatrica?,Neutrophil-to-lymphocyte ratio and platelet-to-lymphocyte ratio in asthmatic children: a systematic review with meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Ajustar control y plan escrito segun nueva evidencia.
41506515,Dog Therapy for Dental Care Among Autistic Children: A Randomized Trial.,Pediatrics,2026 Feb 1,2026-02-01,10.1542/peds.2025-073469,,https://pubmed.ncbi.nlm.nih.gov/41506515/,https://doi.org/10.1542/peds.2025-073469,,0,1,RCT/CT,Autismo/TEA,4,3,1,1,9,Que estrategias muestran beneficio funcional real en TEA?,Dog Therapy for Dental Care Among Autistic Children: A Randomized Trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Orientar objetivos realistas y derivacion temprana.
41335431,Semaglutide and Early-Stage Metabolic Abnormalities in Individuals With Schizophrenia Spectrum Disorders: A Randomized Clinical Trial.,JAMA psychiatry,2026 Feb 1,2026-02-01,10.1001/jamapsychiatry.2025.3639,PMC12676471,https://pubmed.ncbi.nlm.nih.gov/41335431/,https://doi.org/10.1001/jamapsychiatry.2025.3639,https://pmc.ncbi.nlm.nih.gov/articles/PMC12676471/pdf/,0,1,RCT/CT,Obesidad,4,3,1,1,9,Que programas o intervenciones consiguen cambios clinicamente relevantes?,Semaglutide and Early-Stage Metabolic Abnormalities in Individuals With Schizophrenia Spectrum Disorders: A Randomized Clinical Trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41224003,"The association between childhood maltreatment and clinical features of depressive, anxiety, and stress-related disorders: A systematic review and meta-analysis.",Journal of affective disorders,2026 Feb 1,2026-02-01,10.1016/j.jad.2025.120627,,https://pubmed.ncbi.nlm.nih.gov/41224003/,https://doi.org/10.1016/j.jad.2025.120627,,1,1,SR/MA,Ansiedad,4,2,2,1,9,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,"The association between childhood maltreatment and clinical features of depressive, anxiety, and stress-related disorders: A systematic review and meta-analysis.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41101467,Intermittent theta burst stimulation for adolescent patients with major depressive disorder or bipolar depression: A systematic review.,Journal of affective disorders,2026 Feb 1,2026-02-01,10.1016/j.jad.2025.120435,,https://pubmed.ncbi.nlm.nih.gov/41101467/,https://doi.org/10.1016/j.jad.2025.120435,,1,1,SR/MA,Ansiedad,4,2,2,1,9,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Intermittent theta burst stimulation for adolescent patients with major depressive disorder or bipolar depression: A systematic review.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
40233200,Low-Carbohydrate Diets for the Management of Pediatric Obesity: A Systematic Review and Meta-analysis.,Nutrition reviews,2026 Feb 1,2026-02-01,10.1093/nutrit/nuaf029,,https://pubmed.ncbi.nlm.nih.gov/40233200/,https://doi.org/10.1093/nutrit/nuaf029,,1,1,SR/MA,Obesidad,4,2,2,1,9,Que programas o intervenciones consiguen cambios clinicamente relevantes?,Low-Carbohydrate Diets for the Management of Pediatric Obesity: A Systematic Review and Meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41558758,Effectiveness of domestic food hygiene interventions on the microbiological quality of child food and childhood diarrhoea: a systematic review and meta-analysis.,BMJ global health,2026 Jan 20,2026-01-20,10.1136/bmjgh-2025-018958,PMC12820825,https://pubmed.ncbi.nlm.nih.gov/41558758/,https://doi.org/10.1136/bmjgh-2025-018958,https://pmc.ncbi.nlm.nih.gov/articles/PMC12820825/pdf/,1,1,SR/MA,Gastroenteritis,4,3,2,0,9,"Que intervenciones previenen deshidratacion, ingreso o complicaciones?",Effectiveness of domestic food hygiene interventions on the microbiological quality of child food and childhood diarrhoea: a systematic review and meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Reforzar plan de hidratacion y signos de alarma.
41550113,Associations of Social Jetlag With Depression and Anxiety in Adolescents and Young People: A Systematic Review and Meta-Analysis.,Depression and anxiety,2026,2026-07-01,10.1155/da/5542425,PMC12811408,https://pubmed.ncbi.nlm.nih.gov/41550113/,https://doi.org/10.1155/da/5542425,https://pmc.ncbi.nlm.nih.gov/articles/PMC12811408/pdf/,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Associations of Social Jetlag With Depression and Anxiety in Adolescents and Young People: A Systematic Review and Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41423749,Association Between Atopic Dermatitis and Contact Sensitization: An Updated Systematic Review and Meta-Analysis.,Contact dermatitis,2026 Mar,2026-03-15,10.1111/cod.70074,,https://pubmed.ncbi.nlm.nih.gov/41423749/,https://doi.org/10.1111/cod.70074,,1,1,SR/MA,Dermatitis atopica,4,2,2,0,8,Que terapias aportan mejor balance eficacia-seguridad en AP?,Association Between Atopic Dermatitis and Contact Sensitization: An Updated Systematic Review and Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Optimizar escalado terapeutico y educacion familiar.
41324393,Effect of Terbutaline Combined With Xiao'er Kechuanling on Efficacy and Airway Remodeling Indices in Children With Asthma.,Clinical pediatrics,2026 Mar,2026-03-15,10.1177/00099228251387553,,https://pubmed.ncbi.nlm.nih.gov/41324393/,https://doi.org/10.1177/00099228251387553,,0,1,RCT/CT,Asma/Sibilancias,4,3,1,0,8,Hay intervenciones o biomarcadores que mejoren decisiones en asma pediatrica?,Effect of Terbutaline Combined With Xiao'er Kechuanling on Efficacy and Airway Remodeling Indices in Children With Asthma.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Ajustar control y plan escrito segun nueva evidencia.
